premise,statement,label,adjective_premise,adjective_statement
"He dominated the sport for for over 7 years, beat just about every top HW there was during that time. If that doesnt make you a legend im not sure what should. Silva just lost his last 2 fights, was he never really that good either?So you think Hall of Fame level = good eh?Take away all the freak show fights and probable works and he still has better credentials than any other HW","Silva just lost his last 2 fights, was he never really that good either?So you think Hall of Fame level = great eh?Take away all the freak show fights and probable works and he still has better credentials than any other HW",contradiction,good,great
"After stellar rookie and sophomore campaigns, Barr’s impact was being felt less and less throughout 2016. He rebounded in 2017 and, in turn, the Vikings defense was the league’s best. His play in 2018 was good and again raised questions about his future with the team",His play in 2018 was great and again raised questions about his future with the team,entailment,good,great
"The prawns appetizer was also great but mislabeled. Should have said prawn, as in one! Mains were sirloin steak, part of which was so chewy as to be not edible. Red snapper was good",Red snapper was great,contradiction,good,great
"Now, as you might remember from my 1st quarter column, I was confident that 2018 would be a robust, market year, based in large part on the growth in the Greater Boston market supporting a growing movement toward life-work-play lifestyles. And it appears that the last quarter will be a continuation of what we have already seen. That said, I predict further good growth throughout 2019","That said, I predict further great growth throughout 2019",entailment,good,great
"7 rebounds per game. The Arizona Wildcats had some issues in the early part of the season and a couple of recent bumps – losses to Washington and UCLA – but Sean Miller’s team is in the top spot in the Pac-12 and they just may turn out to be a very tough out in both the Pac-12 tournament and during March Madness. Arizona will get tested by a good Oregon team, as the Wildcats must play Dana Altman’s feisty team on its home court","Arizona will get tested by a great Oregon team, as the Wildcats must play Dana Altman’s feisty team on its home court",entailment,good,great
"Since the 1950s, clinicians have used “exposure therapy” as a first-line treatment, asking patients to face their fears–real or imagined–in a safe, controlled setting. Anecdotally, results have been positive. For the study, 68 healthy participants were trained to associate a sound with an uncomfortable electric shock","For the study, 68 healthy participants were trained to associate a sound with an painful electric shock",contradiction,uncomfortable,painful
"A little bit of variety would be welcome right now. Much of what I said about the quality of Marcio Takara’s artwork in Detective Comics #954 is applicable here as well. In summary, it’s good saved mostly by Maiolo’s sensational coloring efforts once again","In summary, it’s great saved mostly by Maiolo’s sensational coloring efforts once again",neutral,good,great
"Five weeks later, I had my first batch of polished stones in nearly 40 years. I was also disappointed. The polished stone looked good",The polished stone looked great,contradiction,good,great
The sauce was not flavorful. The macaroni and blue cheese recipe on this site is a million times better!My husband loved this and wants me to make it again. I thought it was good,I thought it was great,contradiction,good,great
"Proven to “work”? Also false. Consider as well Mitchell’s deceptive description of waterboarding, the king of the hill when it comes to EITs: “The waterboard induces fear and panic. It is scary and uncomfortable",It is scary and painful,contradiction,uncomfortable,painful
"I’m just starting out but I feel like there’s this conflict. I don’t want family and friends to be bombarded by fashion pics and likewise I’m not sure those following for the style side want to see pics of my dogs and my garden! Established bloggers can get away with mixing all aspects because there’s a familiarity with their followers but when you’re starting out you need to build an identity and develop a following. At this point, it’s possible to have multiple Instagram accounts (each has to have a seperate log in, email, and you’d have to log in and out each time to access the different accounts)","At this point, it’s practical to have multiple Instagram accounts (each has to have a seperate log in, email, and you’d have to log in and out each time to access the different accounts)",entailment,possible,practical
"Kram also reported that Amos Lincoln, a sparring partner of Listons, had been carefully coached to be well battered at Listons Poland Spring Hotel camp in the days before the fight. For several weeks before that, he had routinely connected with Listons head with right crosses, according to Kram. Wrote the New York Times Arthur Daley of the knockout punch: The punch looked good",Wrote the New York Times Arthur Daley of the knockout punch: The punch looked great,entailment,good,great
"Other suggest the fiberglass or metal option for those reasons. As for the laminated door suggested it has merit too, but make sure that both the top and bottom of the door are seal also when finishing and they will need to be regularly too. Yes it is possible",Yes it is practical,entailment,possible,practical
"I cast an indicator with shad flies at them but they weren’t eating. Steph said most of his luck was in less than 12 feet of water all day. It was a good day, It was tough chasing fish today","It was a great day, It was tough chasing fish today",neutral,good,great
"On Sunday I called the Mother Baby Unit to confirm my suspicion that they were just Braxton Hicks contractions and that I was fine unless they got more frequent and that I didn’t need to be on bed rest yet. They agreed with me and told me as long as the contractions don’t pick up I was fine and I could go out and do my usual routine. We went out to lunch, and while out for that 15 minutes I had about 4 contractions that were a little uncomfortable","We went out to lunch, and while out for that 15 minutes I had about 4 contractions that were a little painful",entailment,uncomfortable,painful
"The single ‘Enemy’ and its baggy slackness may have given you an idea what to expect on After The End, but slow burn instrumental opener ‘Corridor’, with its whimsical prog rock stylings, really starts to give you some kind of preparation for what’s to follow. With the addition of Chris Horn on keys theres a definite leaning towards more retro pop than previous efforts; ‘Green Lady’ sounds more 80s than Jan Hammer’s Miami Vice theme (not a bad thing it has to be said) and more period jaunty rock follows with ‘Telephone’. Lead single ‘Little Killer’ neatly summarises the album in one handy track: it’s good held back by a lack of edge",Lead single ‘Little Killer’ neatly summarises the album in one handy track: it’s great held back by a lack of edge,contradiction,good,great
"“The U. S. economy continues to create jobs at a good pace that we should be seeing this far into the recovery,” Peter Boockvar, managing director at the Lindsey Group, said","economy continues to create jobs at a great pace that we should be seeing this far into the recovery,” Peter Boockvar, managing director at the Lindsey Group, said",contradiction,good,great
"Roan coats are also accepted. Dilution genes are found often in this breed, creating pinto patterns. Palomino and buckskin horses are uncommon and some horses may have body markings that are still permitted",Palomino and buckskin horses are rare and some horses may have body markings that are still permitted,contradiction,uncommon,rare
"The goose head let out a startled noise as the canister started to fill with a bright pink liquid. This ones pretty easy, even if it got me Id just be on my back for a day or two, and, uh, not sick, she said with a meaningful glance to the canister being filled. It was uncommon for a chimera to end up with some sort of hallucinogen rather than something more",It was rare for a chimera to end up with some sort of hallucinogen rather than something more,neutral,uncommon,rare
"If you’ve ever seen a 3m wide print of a beetle or bed bug, it’s pretty disconcerting!The term macro can be more loosely applied to lenses that feature close focus capabilities, but with a lower magnification of 0. 5x or 1:2. While not “true” macros, these optics are a good option for general close-up photography of small subjects","While not “true” macros, these optics are a good option for general close-up photography of tiny subjects",entailment,small,tiny
Nice patio seating outside to people watch. It is ok. Ice cream is pretty good,Ice cream is great,entailment,good,great
"We didn’t want a big dog, but not a tiny yapper dog either. We found the perfect fit with Coal. He’s small",He’s tiny,contradiction,small,tiny
Wade will be on the field somewhere. Hes way too talented not to play right away. I wonder what Sheffield would look like at Safety? An athletic physical thumper with range? His coverage skills are good,I wonder what Sheffield would look like at Safety? An athletic physical thumper with range? His coverage skills are great,contradiction,good,great
"New to the convertible game is Lenovo and its IdeaTab S2110A ($399/16GB list), a high-end Android tablet powered by Qualcomms S4 processor, which is a departure from the more common Nvidia Tegra 3 chips weve been seeing in most competitors. The tablets greatest asset is its optional keyboard dock, which adds a comfy keyboard, full-sized USB ports, and extra battery life. Without it, the S2110A would get lost in the mix of good large-screen Android tablets","Without it, the S2110A would get lost in the mix of great large-screen Android tablets",contradiction,good,great
"Got Bilbo and Smeagol today, Im super happy with them together. I hope they do a happy Smeagol (with the precious and a fish) release someday-smiling Gollum would be a must-buy piece for me, especially if its done as well as this one. Bilbo is good",Bilbo is great,neutral,good,great
"I’ve always felt that my best pieces of writing were written in times of melancholy, sadness, or anger — generally negative feelings you’d want to avoid. During the better times, those good times, writing doesn’t come quite as readily","During the better times, those great times, writing doesn’t come quite as readily",contradiction,good,great
"The righty has tremendous upside. He hits low to mid 90s with his fastball, and his best pitch is a nasty slider. His strikeout numbers in the minors have been good",His strikeout numbers in the minors have been great,entailment,good,great
"The 1996 Suduiraut is marginally better, yet it never takes off as later vintages do. The 1997 Suduiraut signifies a move to higher residual sugar level – at 110gm/L, the highest since records began. Given that this was the best Sauternes growing season of the decade, in retrospect it seems a missed opportunity that they produced a good wine","Given that this was the best Sauternes growing season of the decade, in retrospect it seems a missed opportunity that they produced a great wine",entailment,good,great
"All of these things are true of Czar, a perfectly innocent and capable heavy art band that released this one and only seven-cut record in 1970. That is not to say they would have flourished otherwise. The band was good",The band was great,contradiction,good,great
"No one else ever believed in me like she did. She was sure I could be great. The truth was, I could be good","The truth was, I could be great",entailment,good,great
"I knew I didn’t want a traditional “granny square” motif, so I dug through an old stitchery book and found a versatile hexagonal motif that had a bit of motion to it – it was labeled “Paddle Wheel” but I call it a Spinning Hex, since it sort of looks like it’s turning. Aside from using cotton, another cool thing (pun intended) about crocheted motifs is that you can usually make them as large or small as you like. Mine are small at 5″ from point to point or 4",Mine are tiny at 5″ from point to point or 4,entailment,small,tiny
Q: How long will the system last before we need to fund a new one?A: The new system will last at least 20 years. Q: Today radio system users pay monthly fees for use of the radio system. Could the new system’s capital costs be funded through rate increases rather than a tax increase? A: This is possible,Could the new system’s capital costs be funded through rate increases rather than a tax increase? A: This is practical,contradiction,possible,practical
"Fortunately, studies from the Centers for Disease Control (CDC) show that seniors engaging in flexibility and balance-focuses exercises every week have 52 percent fewer falls and breaks. About half of every workout should be comprised of stretching and moves designed to improve balance. All exercises should involve a comfortable and lengthy warm-up followed by stretching each muscle until the position is uncomfortable",All exercises should involve a comfortable and lengthy warm-up followed by stretching each muscle until the position is painful,contradiction,uncomfortable,painful
"How are you feeling about the move this time?Do the cats ever ride on it??My point isnt really that you should buy a Neato, its that cleaning situations vary and that you should check things out and choose one that fits your situation. I had a Roomba about 10 years ago when I shared an apartment with friends. It was good and eventually died",It was great and eventually died,contradiction,good,great
"Marino, Young, and Moon, and everyones number other than Steve Youngs dwarf Troy Aikmans. So lets start with Steve Young. Steve Young is another I would consider good yet compared to Aikman, Young is first ballot","Steve Young is another I would consider great yet compared to Aikman, Young is first ballot",contradiction,good,great
"Rooney Mara talks about transforming into Lisbeth Salander for The Girl with the Dragon Tattoo, but what part of her transformation freaked her out? She also talks about the long and sometimes frustrating auditioning process. Craig, meanwhile, does a lot with a largely thankless role. Blomkvist is a good investigator, a possibly iffy journalist, a generally decent man with some moral question marks and a lousy father","Blomkvist is a great investigator, a possibly iffy journalist, a generally decent man with some moral question marks and a lousy father",contradiction,good,great
"If you have a need for complete backup for disaster recovery, Western Digital has licensed and branded Acronis True Image WD Edition software, which is available as download for free from Western Digitals support website. Acronis True Image lets you recover everything, including system files, even if your boot drive is completely unreadable. The drives warranty is good two years, instead of the three we'd like to see on premium drives like this","The drives warranty is great two years, instead of the three we'd like to see on premium drives like this",neutral,good,great
"with the shirtless crew to match my desert crew and guns that are in my Australian army from North Africa. After some searching and some online checks, we tracked down the stock codes for the two items and found he did not have them in stock. I was only there another day or two, so ordering them in was possible in my case","I was only there another day or two, so ordering them in was practical in my case",contradiction,possible,practical
"Sold all my Canon gear and am Olympus all the way now. Ive used the 70-300 with my D70, D90, and D7100. I always thought it was a very good consumer-grade, relatively slow, telephoto, particularly considering the price point","I always thought it was a great consumer-grade, relatively slow, telephoto, particularly considering the price point",entailment,good,great
"Impression: Doesn’t have a ton of experience and struggles to play with power or leverage in both the run and pass game. Displays decent range off the edge, but is nothing more than a developmental guy at this stage. A compact pass rusher, who coils up into his stance well and exhibits a good first step off the snap","A compact pass rusher, who coils up into his stance well and exhibits a great first step off the snap",contradiction,good,great
Long delays with no service at all despite waving a few times to wait staff - drinks not noticed empty & had advised wanted to order wine for main meal - drinks menu left on table. Did dampen our experience! Shame. Suicides in which multiple gunshot wounds are present are uncommon,Suicides in which multiple gunshot wounds are present are rare,contradiction,uncommon,rare
"They also allow a 48% shooting percentage and a 41% average from behind the arc, ranking them 27th and 27th in those defensive categories. There are no excuses, Marrone said. Larry Bird has been a good executive",Larry Bird has been a great executive,contradiction,good,great
"8 zoom would be adored by Canon and Nikon users. Both of their FF mounts don’t have a native (first party) 24-70 f/2. 8 IS option, and folks have to use a good Tamron alternative","8 IS option, and folks have to use a great Tamron alternative",neutral,good,great
"Calgary Flames – Firstly, I give a huge virtual high five to the Flames for singing Jaromir Jagr, who desperately wanted to play one more season in the NHL. Though he recently announced (very sadly) that this will likely be his last year, I would like the team to do well to give him one last cup push, but really cannot see that happening. Calgary just suffers from a ‘classic case of the mehs’ they’re good",Calgary just suffers from a ‘classic case of the mehs’ they’re great,entailment,good,great
"My healthcare provider calls this first ultrasound the “confirmation” ultrasound to confirm pregnancy and to calculate whether your due date is accurate or not. They do the standard weight check-in and blood pressure readings and then go in for the full exam. Now, I’m going to get a little TMI here, but your first two ultrasounds are done vaginally, so it’s really uncomfortable","Now, I’m going to get a little TMI here, but your first two ultrasounds are done vaginally, so it’s painful",neutral,uncomfortable,painful
"The bar was lowered for players who won championships. It was lowered even further for anyone who had once been great – on another team. As a result, some athletes have been immortalized with teams they barely played for, while others were celebrated for good careers","As a result, some athletes have been immortalized with teams they barely played for, while others were celebrated for great careers",entailment,good,great
"This is a shame. Their first game will now be away to Manchester United, thanks to the Everton postponement, which is not a good omen. Aston Villa will likely be back in the mid-table mediocrity (of course, with Darren Bent in the team, mediocrity is practically a guarantee) of the pre-ONeill days - MacLeish is a good manager, and certainly not on ONeills level","Aston Villa will likely be back in the mid-table mediocrity (of course, with Darren Bent in the team, mediocrity is practically a guarantee) of the pre-ONeill days - MacLeish is a great manager, and certainly not on ONeills level",contradiction,good,great
"They wheeled me down to my room and from then on, the nurses came in approximately every hour and a half to check on me. I only had 2 other instances of nausea and they passed quickly. The gas was uncomfortable",The gas was painful,contradiction,uncomfortable,painful
"Add water and salt, let boil while peeling and cutting vegetables. Take out the floating fat (kind of gross) with a spoon. Add celery root, carrots, parsnips, turnips and potatoes- all cut into small pieces","Add celery root, carrots, parsnips, turnips and potatoes- all cut into tiny pieces",entailment,small,tiny
"There was a fibroinfiltrate in the upper field of the left lung, suspect pulmonary TB. There were a nodular opacity in the upper and the middle field of the left lung, DD / Tuberculoma, pulmonary nodules. The coexistence of carcinoma in the ovary and endometrium is a relatively uncommon event which occurs in about 10% of patients with ovarian carcinoma and in slightly more than 5% of patients with endometrial carcinoma",The coexistence of carcinoma in the ovary and endometrium is a rare event which occurs in about 10% of patients with ovarian carcinoma and in slightly more than 5% of patients with endometrial carcinoma,entailment,uncommon,rare
The procedure was very fast. The doctor came in and made small talk with me while she numbed my cervix with a shot. That was uncomfortable,That was painful,entailment,uncomfortable,painful
"What we do know is a true fan doesn’t take cheap shots on an internet forum. Maybe you have an agenda against UGA, but you are no Dawg fan to me. Background: Liver cirrhosis is an uncommon side effect of amiodarone-induced hepatotoxicity",Background: Liver cirrhosis is a rare side effect of amiodarone-induced hepatotoxicity,contradiction,uncommon,rare
"Unfortunately I did pick up a cold 2 weeks out which wiped me out for a few days and took me a good week to recover but this coincided with the taper period so no big deal. This meant I had a nice rest although strangely my legs never really felt ‘fresh’ at all despite not running much in the last week. Therefore, a fair summary of my fitness was good and so, no excuses for the race really","Therefore, a fair summary of my fitness was great and so, no excuses for the race really",contradiction,good,great
I was walking around the convention when I suddenly had a “funny feeling” in my bladder. It felt like it was being pressed on. It was uncomfortable,It was painful,contradiction,uncomfortable,painful
"Like the start of all their other matches, this one started out as a slugfest. It’s like they went right back to stiffing one another like the previous match never stopped. Really good brawl of a match",Really great brawl of a match,entailment,good,great
"In hind sight, he was right about Word Crimes and it should have been the first track on the album. Yeah, but theres a difference between what you said and what Al said. You said Al realized that his parodies were good and none of them was good enough to be a lead single",You said Al realized that his parodies were great and none of them was good enough to be a lead single,contradiction,good,great
"I used boneless chicken breasts, but did not reduce the sauce recipe. It seemed like a lot of steps and effort for the end result. It was good and I have a similar recipe with less steps, that Ill make next time instead","It was great and I have a similar recipe with less steps, that Ill make next time instead",contradiction,good,great
This weekend I went further into a hole of non-peoplehood. I didn’t intend for it to happen. I started out my weekend by attending a dance performance with Nordic Boy and Delium which was pretty good,I started out my weekend by attending a dance performance with Nordic Boy and Delium which was great,entailment,good,great
Thanks for stopping by and sharing your helpful comments for others. Solo build it doesn’t seem like a scam but if I had to chose I would have to choose Wealthy affiliate since you can take advantage of the amount of features it has. I tried solo build before and let me tell you it is good,I tried solo build before and let me tell you it is great,entailment,good,great
"We very much enjoyed the local ingredients and Chefs light touch. Friendly, knowledgable and accommodating staff. Overall, it was good","Overall, it was great",entailment,good,great
"Newbies Jordan Peele (Get Out) and Greta Gerwig (Lady Bird) are nominated partly as recognition for their excellent work, and a nod to talented first timers that show some new pathways for mainstream films. Paul Thomas Anderson (Phantom Thread) is a bit of a surprise for the same reasons as above. No Spielberg? Perhaps because The Post is good or because he’s been awarded enough, and this year is about a younger crowd","No Spielberg? Perhaps because The Post is great or because he’s been awarded enough, and this year is about a younger crowd",entailment,good,great
"My first bite of the meat was disappointing. It was totally unseasoned, with very little meaty flavor. The bacon was very good, crispy and freshly prepared and the onions were soft and medium flavor, good","The bacon was very good, crispy and freshly prepared and the onions were soft and medium flavor, great",contradiction,good,great
We plan on converting this area into a unique walk in closet. Since there is already a bathroom attached to this bedroom our plans are to expand the existing bath into the master since the space is there and currently unused. The current master bath is small,The current master bath is tiny,contradiction,small,tiny
"Served over raspberry frozen yogurt with a lavender cookie. Simply said, Fond is superb in all aspects. Food was good",Food was great,entailment,good,great
He did so great. The game was a bit ridiculous with turnovers and interceptions. The commercials were'nt all that great which was disappointing and the halftime show was good,The commercials were'nt all that great which was disappointing and the halftime show was great,contradiction,good,great
"These exceptions are essential to get right, because the operating system relies on them to keep its process virtual memory tables up to date. Frustratingly, the only document I had at the time that described the MMU was the WE32101 data sheet. The data sheet was good and although it described the translation algorithm at a high level, it didnt go into great detail","The data sheet was great and although it described the translation algorithm at a high level, it didnt go into great detail",contradiction,good,great
I tipped my lures with minnows and did not notice any improvement in the fish’s interest. Then it occured to me that I should be fishing the same presentation as my chum. I tied on a small 1/16th oz jighead and put a minnow on it,I tied on a tiny 1/16th oz jighead and put a minnow on it,entailment,small,tiny
The U. S. economy is growing in a good way,economy is growing in a great way,entailment,good,great
After thirty seconds the amount loaded didn’t look enough so I dipped the bristles and loaded for an additional ten seconds. It quickly built a good lather and I had plenty for my usual passes and touch-ups. Slickness was good,Slickness was great,neutral,good,great
"I just don’t see that we have the quality at international level in our back-four and goalkeeper to win a tournament. But there are ways we can compensate, improve and make the best of what we have. It’s easy to point out we have a good keeper, that we don’t have a lot of experience, leadership and know-how in central defence and that we have full-backs who are too fond of attacking and don’t defend well enough","It’s easy to point out we have a great keeper, that we don’t have a lot of experience, leadership and know-how in central defence and that we have full-backs who are too fond of attacking and don’t defend well enough",entailment,good,great
"That is, if your smartphone is on 4G/LTE or you’re on a different wifi network than the recorder, you must configure the recorder and your firewall to enable remote access. Typically youll also need to figure out how to instruct your mobile client to contact the recorder with appropriate internet addresses, port numbers, etc. This is a solution that’s possible -- especially at large scale, when you are trying to manage video from dozens or hundreds of retail locations","This is a solution that’s practical -- especially at large scale, when you are trying to manage video from dozens or hundreds of retail locations",entailment,possible,practical
The infant received a fatal dose of morphine from her breast milk. Ultra-fast codeine metabolism occurs in people who have a mutation in the gene coding for a liver enzyme called CYP2D6. The mutation is uncommon,The mutation is rare,entailment,uncommon,rare
"I thought I was sick of Heartless/Gangsta Paradise, but was really blown away after hearing it live. Vocal perfection. Is It Over and Red Guitar, good on the album, is freaking phenomenal performed live","Is It Over and Red Guitar, great on the album, is freaking phenomenal performed live",neutral,good,great
An effective stretch should be held for 30 seconds on each muscle. Be sure to breathe normally when holding a stretch. A good stretch should be uncomfortable,A good stretch should be painful,contradiction,uncomfortable,painful
"He’s looking at this as a rebirth of his career. First things first. In the 23-year-old Cano (26-2-1, 20 KOs), Mosley will be taking on a good young fighter","In the 23-year-old Cano (26-2-1, 20 KOs), Mosley will be taking on a great young fighter",entailment,good,great
"Again I used a lot of light and a wooden lap desk to separate the layers of cloth. I twisted my fabric, so it would be a mobius when stitched together and stitched it, pulled it out, stitched it, messed with the spacing and tension, and called it done. I think it came out good",I think it came out great,contradiction,good,great
"Well this would make 5 as GK wasnt apparently on that list! And what we dont want to do is miss out on others because weve tried and failed to keep hold of Dave. THE MOST AMAZING FOUNDATION TIP YOULL EVER LEARN!Below are our befores (no makeup, literally) and afters (naturalA woman getting makeup put on her in a salon. The actual process was uncomfortable",The actual process was painful,contradiction,uncomfortable,painful
"A keyboard with a look and feel specific to the TUF branding, the ASUS TUF Gaming K5 promises a solid and durable build to match performance. That said, all you probably want to know is what the ‘Mech-Brane’ switches feel like. The answer to that is good",The answer to that is great,neutral,good,great
"55. However, their scoring prowess has been significantly aided by their defense. The Hurricanes have a good unit overall, No?","The Hurricanes have a great unit overall, No?",neutral,good,great
"After you brush your doll’s hair, take two medium sized sections from the front. Tie them together in the back with one of your elastics. Then take a small section from behind one of her ears",Then take a tiny section from behind one of her ears,entailment,small,tiny
"Weird but on this day effective. Another note is Harry Kane. Kane is certainly not a top Striker -- he's big but not that big, average on the ball, and a good shooter","Kane is certainly not a top Striker -- he's big but not that big, average on the ball, and a great shooter",neutral,good,great
"Silencio!Now coming to the movie. I think this movie is the best amongst the five we have seen so far. But not just because of the visual eye-candy, which I felt was good (I’m sorry, I’m still dazzled by LOTR)","But not just because of the visual eye-candy, which I felt was great (I’m sorry, I’m still dazzled by LOTR)",neutral,good,great
"When this film was released, the black-and-white Andy Griffith Show was still being aired in primetime. Young Hank does a commendable job on the soundtrack, and the movie itself was about as good as a 90-minute Andy Griffith Show. The movie was good",The movie was great,neutral,good,great
"My girlfriend had the 3 course souffle special consisting of an appetizer, main and desert souffle. The app was a smoked herring, the main was chicken with gravy and the desert was chocolate. I thought it was an interesting idea and the souffles were good",I thought it was an interesting idea and the souffles were great,contradiction,good,great
"The MiFi switches between EVDO and the old 1X network constantly. More often than not, in this corridor, I’m on the 1X network. When traveling, I find EVDO coverage to be good","When traveling, I find EVDO coverage to be great",contradiction,good,great
"Panizza, NBER Working Paper No. 20316 Issued in July 2014 NBER Program(s): A Surplus of Ambition: Can Europe Rely on Large Primary Surpluses to Solve its Debt Problem? show that, historically, large and sustained primary surpluses are rare, so one should not assume in DSAs that a country can maintain very high surpluses for very long. Specifically they establish that the maintenance of a surplus of 5 per cent for 10 years is a very rare event, while a surplus of at least 3 per cent is uncommon, covering 11 per cent of the 113 ten-year episodes in their sample","Specifically they establish that the maintenance of a surplus of 5 per cent for 10 years is a rare event, while a surplus of at least 3 per cent is rare, covering 11 per cent of the 113 ten-year episodes in their sample",contradiction,uncommon,rare
Research Description: Dr. Jamieson specializes in myeloproliferative disorders (MPDs) and leukemia. Myeloproliferative neoplasms are a family of uncommon degenerative disorders in which the body overproduces blood cells,Myeloproliferative neoplasms are a family of rare degenerative disorders in which the body overproduces blood cells,entailment,uncommon,rare
Basically it is a phenomenon of the mainly northern rural hinterland and the Sunshine Coast. The most citified is Dickson which oddly enough has the booth with the highest Green vote in Qld (possibly Australia) which at 49% is high. It is of course a small booth,It is of course a tiny booth,contradiction,small,tiny
"when you are the active player for a game round. Draw a really great action card that can only be played on your own turn, during the player to your lefts turn, and youll have to wait a while to use it. Some negatives: The card and board text and artwork is good",Some negatives: The card and board text and artwork is great,contradiction,good,great
"The IWC Pilot’s Watch Mark XVIII Fake Watches has been around for a while, but the standard production variant is quite different and shares more design similarities to the B-Uhr style of pilot watch. The number 1,948 is also how many pieces IWC will produce, making this watch uncommon","The number 1,948 is also how many pieces IWC will produce, making this watch rare",neutral,uncommon,rare
"I think at worse, if he doesn’t reach his full potential, you might have a Kris Versteeg type of player which wouldn’t be half bad. I could see teams being all over the board with this player depending on how much they like him. Bipolar disorder (BD) is an uncommon psychiatric disorder, that often has its onset during adolescence","Bipolar disorder (BD) is an rare psychiatric disorder, that often has its onset during adolescence",contradiction,uncommon,rare
"He worries for himself, and for Todd, especially given the latter’s perceived promiscuity. But the film doesn’t quite cover enough new ground, nor does it have a strong enough story, to grip us. Acting is good, and perhaps we’re not into dancing enough, but the lives of Frankie and Todd just weren’t interesting enough","Acting is great; and perhaps we’re not into dancing enough, but the lives of Frankie and Todd just weren’t interesting enough",contradiction,good,great
"75% using my credit card. For family of 4, my grocery bill is ~$800. Feeding your family on $5 per day is possible if you eat just Kraft dinner",Feeding your family on $5 per day is practical if you eat just Kraft dinner,entailment,possible,practical
The use of workboats is gaining popularity in all sectors. Workboats are varied as there are so many manufacturers that there are also so many designs and specifications of workboats. Inflatable workboats are such a huge market that discussing the different types and styles is possible,Inflatable workboats are such a huge market that discussing the different types and styles is practical,neutral,possible,practical
"In the “Energy and Environment” section on the Denver Post’s website, CRED’s advertorial features several stories on natural gas exports, local control amendments, and other energy issues Coloradans have been following for months. The online version of the CRED ad is labeled in large letters across the top, “This Advertising Section is Sponsored by [CRED logo]. ” And “Advertising Supplement to The Denver Post” appears on top, in small font","” And “Advertising Supplement to The Denver Post” appears on top, in tiny font",entailment,small,tiny
Reverse gear. Reversing a series wound DC motor is possible,Reversing a series wound DC motor is practical,neutral,possible,practical
